sitio,temperatura,humedad,luz,biomasa,Clasificación_biomasa,clima
Bosque Alto de Nocaima,23.8,82.2,1030,250.8,Alta,húmedo templado
Humedal Facatativá,18.0,89.7,395,225.8,Alta,húmedo templado
Río San Francisco,17.2,85.4,647,237.5,Alta,húmedo frío
Ladera de La Vega,21.7,81.4,769,252.4,Alta,húmedo templado
Zona Húmeda El Vergel,24.1,85.3,1333,302.7,Alta,húmedo templado
Río Subachoque,19.9,71.3,563,75.0,Media,húmedo templado
Humedal Mosquera,27.7,72.7,854,279.1,Alta,húmedo templado
Río Madrid,23.6,68.0,1482,123.1,Media,seco templado
Reserva San Miguel,20.7,70.3,899,108.3,Media,húmedo templado
Ladera de Sasaima,19.5,82.1,1016,221.7,Alta,húmedo templado
Bosque de Guaduas,18.8,63.2,401,78.7,Media,seco templado
Humedal Cajicá,24.2,75.2,1283,315.6,Alta,húmedo templado
Río Villeta,20.1,75.1,1004,238.2,Alta,húmedo templado
Quebrada Cune,14.8,77.3,931,267.0,Alta,húmedo frío
Bosque de Tenjo,19.6,74.9,678,54.8,Media,húmedo templado
Ladera de Tabio,24.3,70.9,630,228.3,Alta,húmedo templado
Río Bogotá (tramo Sabana),16.6,74.9,771,217.0,Alta,húmedo frío
Humedal Gualí,16.5,91.3,1102,97.7,Media,húmedo frío
Reserva de Nocaima,21.4,93.0,1344,95.9,Media,húmedo templado
Bosque de San Francisco,21.4,77.6,888,258.7,Alta,húmedo templado
